action,cumulative_reward
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
4,0.0
2,0.0
1,0.0
1,0.0
1,0.0
4,0.0
4,0.0
1,0.0
1,0.0
4,0.0
4,0.0
4,0.0
1,0.0
1,0.0
1,0.0
4,0.0
4,0.0
4,0.0
1,0.0
1,0.0
1,0.0
4,0.0
4,0.0
1,0.0
1,0.0
2,0.0
1,0.0
1,0.0
0,0.0
2,0.0
2,0.0
1,0.0
3,0.0
1,0.0
1,0.0
2,0.0
1,0.0
5,0.0
1,0.0
3,0.0
0,0.0
2,0.0
3,0.0
1,0.0
2,0.0
1,0.0
1,0.0
0,0.0
2,0.0
4,0.0
3,0.0
5,0.0
1,0.0
4,0.0
5,0.0
3,0.0
2,0.0
1,0.0
0,0.0
0,0.0
2,0.0
1,0.0
1,0.0
0,0.0
2,0.0
1,0.0
4,0.0
2,0.0
2,0.0
5,0.0
5,0.0
2,0.0
0,0.0
4,0.0
1,0.0
2,0.0
5,0.0
4,0.0
2,0.0
1,0.0
4,0.0
4,0.0
2,0.0
0,0.0
1,0.0
5,0.0
3,0.0
3,0.0
3,0.0
2,5.0
1,5.0
5,5.0
0,5.0
3,5.0
2,5.0
2,5.0
2,5.0
2,5.0
5,5.0
1,5.0
5,5.0
3,15.0
2,15.0
5,15.0
3,15.0
3,15.0
2,15.0
0,15.0
5,15.0
4,15.0
5,15.0
5,15.0
5,15.0
3,15.0
1,15.0
5,15.0
2,15.0
2,15.0
5,30.0
2,30.0
4,30.0
5,30.0
2,30.0
5,30.0
1,30.0
1,30.0
1,30.0
0,30.0
1,30.0
5,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
2,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
1,30.0
4,30.0
2,30.0
2,30.0
2,30.0
1,30.0
0,30.0
1,30.0
1,30.0
2,30.0
0,30.0
4,30.0
2,30.0
2,30.0
2,30.0
1,30.0
1,30.0
1,30.0
